27,2016/2017,Monaco,17/05/2017,ASSE,Domicile,Stade Louis II,Ligue 1,2 - 0,Pied gauche,Radamel Falcao,S. Ruffier,19',https://www.youtube.com/watch?v=8XxOL2skhvw,00:45
28,CDM 2018,Equipe de France,31/08/2017,Pays-Bas,Domicile,Stade de France,Eliminatoires CM - Europe,4 - 0,Pied droit,??,J. Cillessen,90'+1,https://www.youtube.com/watch?v=UVjHeXV9Pnc,03:54
29,2017/2018,Paris Saint-Germain,08/09/2017,Metz,Exterieur,Stade Saint-Symphorien,Ligue 1 Conforama,1 - 5,Pied droit,,E. Kawashima,59',https://www.youtube.com/watch?v=cyyRiJGKYTI,02:19
30,2017/2018,Paris Saint-Germain,12/09/2017,Celtic,Exterieur,Celtic Park,Ligue des Champions,0 - 5,Pied droit,Neymar Jr,C. Gordon,34',https://www.youtube.com/watch?v=kcubE_tTt6U,04:26
31,2017/2018,Paris Saint-Germain,30/09/2017,Bordeaux,Domicile,Parc des Princes,Ligue 1 Conforama,6 - 2,Pied droit,Julian Draxler,B. Costil,58',https://www.youtube.com/watch?v=YdISgHQJThQ,02:45
32,2017/2018,Paris Saint-Germain,18/10/2017,Anderlecht,Exterieur,Lotto Park,Ligue des Champions,0 - 4,Pied droit,Marco Verratti,M. Sels,3',https://www.youtube.com/watch?v=XSjHCDVZxgg,00:14
33,2017/2018,Paris Saint-Germain,04/11/2017,Angers,Exterieur,Stade Raymond-Kopa,Ligue 1 Conforama,0 - 5,Pied droit,Dani Alves,M. Michel,5',https://www.youtube.com/watch?v=mIzJ-YnH8so,00:46
34,2017/2018,Paris Saint-Germain,04/11/2017,Angers,Exterieur,Stade Raymond-Kopa,Ligue 1 Conforama,0 - 5,Pied gauche,Lucas Moura,M. Michel,84',https://www.youtube.com/watch?v=mIzJ-YnH8so,03:00
35,2017/2018,Paris Saint-Germain,22/11/2017,Celtic,Domicile,Parc des Princes,Ligue des Champions,7 - 1,Pied droit,Marquinhos,C. Gordon,35',https://www.youtube.com/watch?v=KHQQG6hRN8Q,07:28
36,2017/2018,Paris Saint-Germain,02/12/2017,Strasbourg,Exterieur,Stade de la Meinau,Ligue 1 Conforama,2 - 1,Pied droit,Adrien Rabiot,B. Kamara,42',https://www.youtube.com/watch?v=di61IPbbTXQ,02:18
37,2017/2018,Paris Saint-Germain,05/12/2017,Bayern Munich,Exterieur,Allianz Arena,Ligue des Champions,3 - 1,Tête,Edinson Cavani,S. Ulreich,50',https://www.youtube.com/watch?v=7-srV9MqdNk,01:36
38,2017/2018,Paris Saint-Germain,09/12/2017,Lille,Domicile,Parc des Princes,Ligue 1 Conforama,3 - 1,Pied droit,Marquinhos,M. Maignan,90'+3,https://www.youtube.com/watch?v=p5OtCSjbnLc,03:16
39,2017/2018,Paris Saint-Germain,16/12/2017,Rennes,Exterieur,Roazhon Park,Ligue 1 Conforama,1 - 4,Pied droit,Neymar Jr,T. Koubek,17',https://www.youtube.com/watch?v=299KGyvwPuw,00:53
40,2017/2018,Paris Saint-Germain,20/12/2017,Caen,Domicile,Parc des Princes,Ligue 1 Conforama,3 - 1,Pied gauche,Giovani Lo Celso,R. Vercoutre,57',https://www.youtube.com/watch?v=C5F32T2wYog,02:06
41,2017/2018,Paris Saint-Germain,07/01/2018,Rennes,Exterieur,Roazhon Park,Coupe de France,1 - 6,Pied gauche,Thiago Silva,A. Diallo,9',https://www.youtube.com/watch?v=AjgtOao-flM,00:05
42,2017/2018,Paris Saint-Germain,07/01/2018,Rennes,Exterieur,Roazhon Park,Coupe de France,1 - 6,Pied gauche,Di Maria,A. Diallo,76',https://www.youtube.com/watch?v=AjgtOao-flM,02:24
43,2017/2018,Paris Saint-Germain,17/01/2018,Dijon,Domicile,Parc des Princes,Ligue 1 Conforama,8 - 0,Pied gauche,Neymar Jr,B. Reynet,77',https://www.youtube.com/watch?v=oozoKxn8_W8,03:06
44,2017/2018,Paris Saint-Germain,25/02/2018,Marseille,Domicile,Parc des Princes,Ligue 1 Conforama,3 - 0,Pied gauche,,Y. Pelé,10',https://www.youtube.com/watch?v=DsoNcPvp2uM,00:44
45,2017/2018,Paris Saint-Germain,10/03/2018,Metz,Domicile,Parc des Princes,Ligue 1 Conforama,5 - 0,Pied gauche,Marco Verratti,E. Kawashima,45'+1,https://www.youtube.com/watch?v=wOiic6bY60I,01:54
